NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	392.11	358.15	297.51	259.51	223.58	197.26	246.59	189.23	120.69	91.61
	136.66	154.43	115.25	170.58	229.96	289.59	248.42	160.75	94.04	96.21
	134.09	108.43	95.97	112.23	98.82	86.24	69.75	64.24	67.37	69.25
	60.11	54.35	53.85	58.51	80.92	91.39	59.95	59.15	59.62	93.35
	87.38	74.68	69.29	70.78	71.45	65.67	67.39	66.43	64.73	64.7
	62.05	91.46	153.98	157.64	156.12	156.37	162.95	181.57	201.55	223.82
	351.89	689.64	620.23	1128.4	1370.01	1129.75	866.34	698.83	629.65	713.91
	526.14	457.15	442.3	376.29	401.06	301.81	275.37	217.34	291.86	327.17
	165.73	123.13	120.83	91.52	79.23	81.14	106.41	121.5	104.98	84.34
	83.19	89.78	106.41	90.41	60.37	88.4	86.87	76.39	71.96	60.32
	57.56	52.68	48.24	42.94	63.55	89.06	55.21	55.92	42.53	34.66
	43.33	47.99	50.72	46.64	50.35	48.6	46.81	50.18	49.34	43.26
	47.91	40.59	54.87	102.66	139.08	111.77	110.8	133.95	150.66	170.78
	167.62	183	232.71	298.03	356.62	589.2	753.25	775.93	976.35	681.88
	540.65	400.3	363.94	284.32	292.51	304.32	264.49	179.1	151.2	152.07
	140.2	144.97	131.21	90.98	87.2	75.47	78.08	75.2	68.3	64.13
	57.57	63.38	62.08	66.92	65.33	62.54	47.11	65.51	76.74	79.87
	53.84	36.84	31.29	36.64	56.51	53.43	59.38	36.99	29.58	45.64
	40.95	35.68	34.11	31.88	31.95	31.86	30.58	32.35	38.9	33.51
	25.52	27.26	19.51	26.82	51.2	88.03	45.38	29.44	130.52	114.4
	148.4	156.9	140.46	151.2	158.62	177.74	235.74	259.55	231.27	342.84
	769.41	437.39	284.07	236.6	254.39	203.9	193.22	170.44	129.16	131.72
	145.07	138.54	103.8	93.85	86.41	70.49	65.55	62.31	62.58	55.37
	54.49	53.72	60.07	53.83	52.26	47.25	51.29	55.58	57.57	49.97
	46.94	58.03	28.58	26.81	31.77	34.02	57.46	66.82	62.56	68.06
	36.84	31.37	27.96	24.12	24.02	25.28	23.41	30.67	26.09	24.65
	26.44	17.83	15.3	16.96	18.46	18.73	27.33	33.64	25.92	17.8
	61.5	69.23	117.36	110.48	70.14	91.44	96.09	117.76	169.77	190.16
	197.14	181.14	251.36	214.67	163.04	122.9	136.04	150.77	120.84	108.9
	100.24	92.05	86.24	75.01	74.08	72.92	69.72	59.81	55.05	56.2
	51.39	48.96	47.9	50.51	37.92	35.53	31.22	31.54	34.69	32.41
	35.81	34.98	29.33	28.58	26.7	27.42	25.3	26.81	23.65	27.06
	27.55	31.5	25.64	29.22	25.73	23.39	18.34	19.04	19.81	19.31
	16.77	13.49	16.23	12.25	12.88	16.58	16.37	19.94	17.91	19.89
	18.49	13.33	11.24	13.47	16.28	21.13	55.82	78.66	87.94	118.83
	130.97	141.26	164.83	197.01	161.24	119.47	177.78	190.42	171.09	158.78
	133.91	98.68	96.17	88.1	52.76	66.85	66.07	56.02	47.34	36.66
	33.92	38.03	32.84	32.18	33.24	37.21	31.13	24.99	22.78	22.05
	18.39	17.83	19.6	19.26	20.27	20.96	17.24	15.46	16.28	13.97
	11.74	19.01	13.9	15.3	17.87	19.22	16.1	22.72	17.45	14.6
	14.51	11.68	8.76	9.79	8.54	12.03	14.61	15.68	13.93	15.24
	17.16	13.38	14.77	9.91	9.49	10.2	13.02	14.78	29.94	43.38
	78.17	97.69	121.16	137.22	150.02	161.49	130.05	145.47	166.56	150.72
	150.88	163.3	118.9	62.39	40.46	41.69	48.68	48.64	42.08	39.32
	28.42	26.76	27.33	25.08	22.26	20.06	21.64	21.64	19.15	17
	12.95	18.02	15.22	13.67	10.55	11.21	12.41	10.47	9.04	8.73
	8.28	8.42	9.43	9.4	9.07	9.99	11.54	12.64	11.77	18.39
	16.87	15.42	13.84	12.31	10.88	7.03	6.98	12.72	12.08	6.89
	6.02	8.72	8.14	9.35	9.27	7.16	6.6	8.04	10.6	11.11
	12.49	13.05	21.74	47.67	79.91	89.98	90.99	53.66	44.04	47.11
	57.53	63.26	62.08	63.65	51.47	58.25	46.1	40.76	30.01	19.96
	18.62	28.69	19.85	17.75	16.89	17.29	18.7	12.97	7.69	11.1
	11.71	13.59	17.81	15.07	16.97	10.08	9.63	7.55	8.62	9.98
	7.18	7.04	7.65	7.51	8.09	8.89	8.63	8.72	9.26	8.93
	9.27	9.77	10.54	12.01	11.48	17.67	14.41	11.69	11.69	13.9
	12.87	8.14	6.36	5.94	5.62	6.78	6.94	5.96	6.57	8.03
	7.83	8.84	9.31	16.99	10.25	11.68	21.14	29.52	40.07	30.61
